GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0041800403,275,6,1,2,10:05 PM,4:59,Bogut P.FOUL (P3.T4) (M.Davis),,,,,4,101106,Andrew Bogut,1610612744,Golden State,Warriors,GSW,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,1,0,,,,,
0041800403,277,2,1,2,10:06 PM,4:33,,,MISS Siakam 8' Jump Shot,,,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,278,4,0,2,10:06 PM,4:32,Iguodala REBOUND (Off:0 Def:2),,,,,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,279,6,1,2,10:06 PM,4:32,,,Gasol P.FOUL (P2.T4) (D.Guthrie),,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,1,0,,,,,
0041800403,281,1,99,2,10:06 PM,4:21,Green 2' Cutting Finger Roll Layup Shot (5 PTS) (Curry 4 AST),,,52 - 40,-12,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,283,9,1,2,10:07 PM,4:20,,,Raptors Timeout: Regular (Reg.2 Short 0),,,3,1610612761,,,,,,0,0,,,,,,0,0,,,,,
0041800403,284,8,0,2,10:08 PM,4:20,,,SUB: Powell FOR VanVleet,,,5,1627832,Fred VanVleet,1610612761,Toronto,Raptors,TOR,5,1626181,Norman Powell,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,286,2,3,2,10:08 PM,4:02,,,MISS Siakam 9' Hook Shot,,,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,287,4,0,2,10:08 PM,3:58,Bogut REBOUND (Off:1 Def:2),,,,,4,101106,Andrew Bogut,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,288,2,101,2,10:09 PM,3:43,MISS Cook 14' Driving Floating Jump Shot,,,,,4,1626188,Quinn Cook,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,289,4,0,2,10:09 PM,3:40,,,Gasol REBOUND (Off:0 Def:2),,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,290,5,2,2,10:09 PM,3:20,Iguodala STEAL (1 STL),,Leonard Lost Ball Turnover (P2.T6),,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,292,6,2,2,10:09 PM,3:13,,,Gasol S.FOUL (P3.PN) (K.Fitzgerald),,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,1,0,,,,,
0041800403,294,3,11,2,10:10 PM,3:13,Green Free Throw 1 of 2 (6 PTS),,,52 - 41,-11,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,295,8,0,2,10:10 PM,3:13,,,SUB: Ibaka FOR Gasol,,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,5,201586,Serge Ibaka,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,297,3,12,2,10:10 PM,3:13,Green Free Throw 2 of 2 (7 PTS),,,52 - 42,-10,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,298,1,1,2,10:10 PM,2:57,,,Lowry 27' 3PT Jump Shot (10 PTS) (Leonard 3 AST),55 - 42,-13,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,300,6,2,2,10:10 PM,2:49,,,Lowry S.FOUL (P1.PN) (D.Guthrie),,,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,1,0,,,,,
0041800403,302,3,11,2,10:11 PM,2:49,Curry Free Throw 1 of 2 (18 PTS),,,55 - 43,-12,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,303,3,12,2,10:11 PM,2:49,Curry Free Throw 2 of 2 (19 PTS),,,55 - 44,-11,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,304,2,63,2,10:12 PM,2:23,,,MISS Leonard 26' 3PT Fadeaway Jumper,,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,305,4,0,2,10:12 PM,2:20,Curry REBOUND (Off:2 Def:6),,,,,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,306,1,79,2,10:12 PM,2:18,Curry 30' 3PT Pullup Jump Shot (22 PTS),,,55 - 47,-8,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,307,2,5,2,10:12 PM,2:00,,,MISS Lowry 5' Layup,,,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,309,4,0,2,10:12 PM,2:00,,,Raptors Rebound,,,3,1610612761,,,,,,0,0,,,,,,0,0,,,,,
0041800403,311,6,26,2,10:13 PM,1:54,,,Ibaka Offensive Charge Foul (P2.PN) (K.Fitzgerald),,,5,201586,Serge Ibaka,1610612761,Toronto,Raptors,TOR,4,101106,Andrew Bogut,1610612744,Golden State,Warriors,GSW,1,0,,,,,
0041800403,313,5,37,2,10:13 PM,1:54,,,Ibaka Offensive Foul Turnover (P1.T7),,,5,201586,Serge Ibaka,1610612761,Toronto,Raptors,TOR,0,0,,,,,,1,0,,,,,
0041800403,314,6,1,2,10:13 PM,1:48,,,Lowry P.FOUL (P2.PN) (D.Guthrie),,,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,1,0,,,,,
0041800403,316,3,11,2,10:13 PM,1:48,Curry Free Throw 1 of 2 (23 PTS),,,55 - 48,-7,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,317,3,12,2,10:14 PM,1:48,MISS Curry Free Throw 2 of 2,,,,,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,318,4,0,2,10:14 PM,1:46,,,Siakam REBOUND (Off:1 Def:3),,,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,319,2,1,2,10:14 PM,1:31,,,MISS Siakam  3PT Jump Shot,,,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,320,4,0,2,10:14 PM,1:26,Cook REBOUND (Off:0 Def:1),,,,,4,1626188,Quinn Cook,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,321,5,1,2,10:14 PM,1:21,Green Bad Pass Turnover (P3.T9),,Ibaka STEAL (1 STL),,,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,5,201586,Serge Ibaka,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,323,2,1,2,10:14 PM,1:16,,,MISS Leonard 25' 3PT Jump Shot,,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,324,4,0,2,10:14 PM,1:12,Bogut REBOUND (Off:1 Def:3),,,,,4,101106,Andrew Bogut,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,325,6,4,2,10:15 PM,1:10,Cook OFF.Foul (P2) (K.Fitzgerald),,,,,4,1626188,Quinn Cook,1610612744,Golden State,Warriors,GSW,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,1,0,,,,,
0041800403,327,5,37,2,10:15 PM,1:10,Cook Offensive Foul Turnover (P1.T10),,,,,4,1626188,Quinn Cook,1610612744,Golden State,Warriors,GSW,0,0,,,,,,1,0,,,,,
0041800403,328,6,26,2,10:15 PM,0:53,,,Leonard Offensive Charge Foul (P2.PN) (K.Fitzgerald),,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,1,0,,,,,
0041800403,330,5,37,2,10:15 PM,0:53,,,Leonard Offensive Foul Turnover (P3.T8),,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,,1,0,,,,,
0041800403,331,8,0,2,10:15 PM,0:53,SUB: Bell FOR Bogut,,,,,4,101106,Andrew Bogut,1610612744,Golden State,Warriors,GSW,4,1628395,Jordan Bell,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,333,2,78,2,10:16 PM,0:45,MISS Green 9' Floating Jump Shot,,,,,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,334,4,0,2,10:16 PM,0:43,,,Siakam REBOUND (Off:1 Def:4),,,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,335,1,1,2,10:16 PM,0:33,,,Lowry 27' 3PT Jump Shot (13 PTS) (Ibaka 1 AST),58 - 48,-10,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,5,201586,Serge Ibaka,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,337,6,1,2,10:16 PM,0:31,,,Lowry P.FOUL (P3.PN) (M.Davis),,,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,1,0,,,,,
0041800403,339,3,11,2,10:16 PM,0:31,Curry Free Throw 1 of 2 (24 PTS),,,58 - 49,-9,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,340,3,12,2,10:17 PM,0:31,Curry Free Throw 2 of 2 (25 PTS),,,58 - 50,-8,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,341,1,6,2,10:17 PM,0:14,,,Lowry 3' Driving Layup (15 PTS),60 - 50,-10,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,342,1,43,2,10:17 PM,0:02,Iguodala 1' Alley Oop Layup (2 PTS) (Cook 1 AST),,,60 - 52,-8,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,4,1626188,Quinn Cook,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,344,13,0,2,10:17 PM,0:00,,,,60 - 52,-8,0,0,,,,,,0,0,,,,,,0,0,,,,,
0041800403,353,12,0,3,10:33 PM,12:00,,,,60 - 52,-8,0,0,,,,,,0,0,,,,,,0,0,,,,,
0041800403,354,6,2,3,10:33 PM,11:44,Cousins S.FOUL (P2.T1) (M.Davis),,,,,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,1,0,,,,,
0041800403,356,3,11,3,10:34 PM,11:44,,,Gasol Free Throw 1 of 2 (9 PTS),61 - 52,-9,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,357,3,12,3,10:34 PM,11:44,,,Gasol Free Throw 2 of 2 (10 PTS),62 - 52,-10,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,358,2,5,3,10:34 PM,11:30,MISS Cousins 7' Layup,,,,,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,359,4,0,3,10:35 PM,11:29,Green REBOUND (Off:1 Def:2),,,,,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,360,2,97,3,10:35 PM,11:28,MISS Green 1' Tip Layup Shot,,,,,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,361,4,0,3,10:35 PM,11:27,,,Gasol REBOUND (Off:0 Def:3),,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
